bid,isbn,name,author,publisher,publicationdate,stock,borrowed
255,978-7-122-37110-2,建筑工程监理,王莉，刘黎虹主编,化学工业出版社,2018-09-03,40,0
256,978-7-300-28162-9,汉学家韩南中文小说英译的价值建构研究,刘晓晖著,中国人民大学出版社,2018-09-03,40,0
257,978-7-5692-6549-1,哲思群理修齐治平,曲红梅著,吉林大学出版社,2018-09-03,40,0
258,978-7-5692-6556-9,综合英语课程线上线下翻转课堂模式行动研究,沈萍著,吉林大学出版社,2018-09-03,40,0
259,978-7-04-053920-2,市场营销学,郝文艺，于兰婷主编,高等教育出版社,2018-09-03,40,0
260,978-7-5043-8462-1,扫雷英雄战士杜富国传,吴宗燕主编,中国广播影视出版社,2018-09-03,40,0
261,978-7-300-28166-7,叙事分析手册,(比)吕克·赫尔曼(Luc Herman)，(比)巴特·维瓦克(Bart Vervaeck)著,中国人民大学出版社,2018-09-03,40,0
262,978-7-5480-7591-2,去探索儿童科普绘本,(英)哈丽雅特·布伦德尔(Harriet Brundle)著,江西美术出版社,2018-09-03,40,0
263,978-7-5301-6004-6,哎呀，不能出去玩了！,沙沙著,北京少年儿童出版社,2018-09-03,40,0
264,978-7-309-14512-0,大学基础英语,傅冀耀主编,复旦大学出版社,2018-09-03,40,0
265,978-7-108-06881-1,神奇红房子,有鱼童书著、绘,生活·读书·新知三联书店,2018-09-03,40,0
266,978-7-5203-6572-7,服务业新生代员工工作偏离行为的影响机理,于岩平著,中国社会科学出版社,2018-09-03,40,0
267,978-7-5575-5528-3,中国民间故事,罗俊杰，张爽主编,吉林美术出版社,2018-09-03,40,0
268,978-7-5547-0952-8,清代恽寿平花鸟集,郑玲玲编,天津杨柳青画社,2018-09-03,40,0
269,978-7-5684-1367-1,科学数据素养教育,刘敏主编,江苏大学出版社,2018-09-03,40,0
270,978-7-5131-6042-1,阅读金题80篇,肖德好主编,开明出版社,2018-09-03,40,0
271,978-7-5170-8595-9,小型制冷装置维修,邓志均主编,中国水利水电出版社,2018-09-03,40,0
272,978-7-03-065320-8,空军飞行学员医学选拔,吉保民，邹志康总主编,科学出版社,2018-09-03,40,0
273,978-7-5581-8666-0,世界三人行,薛卫民著,吉林出版集团股份有限公司,2018-09-03,40,0
274,978-7-5008-7417-1,少年岳飞故事,邵敬春主编,中国工人出版社,2018-09-03,40,0
275,978-7-5682-8533-9,小学数学同步专项训练,《小学数学同步专项训练》编写组编,北京理工大学出版社,2018-09-03,40,0
276,978-7-5489-4086-9,中东乐舞节奏,马儁人著,云南美术出版社,2018-09-03,40,0
277,978-7-5685-2553-4,机械制造技术基础,王天煜，吕海鸥主编,大连理工大学出版社,2018-09-03,40,0
278,978-7-122-37130-0,百变思维导图看图说话,派糖童书编著,化学工业出版社,2018-09-03,40,0
279,978-7-5078-4691-1,财务学原理与会计基础工作研究,李枚芮，刘纯超，王静著,中国国际广播出版社,2018-09-03,40,0
280,978-7-203-11477-2,三维及衍生混沌系统分析与电路应用,张玲梅著,山西人民出版社,2018-09-03,40,0
281,978-7-5685-2541-1,假期伙伴,王若辉主编,大连理工大学出版社,2018-09-03,40,0
282,978-7-5078-4695-9,把孩子抱回家,(瑞典)希拉·瑙曼著,中国国际广播出版社,2018-09-03,40,0
283,978-7-5066-9705-7,标准化基础知识习题精选,张朋越主编,中国标准出版社,2018-09-03,40,0
284,978-7-5517-2394-7,新时代高校党支部规范化建设工作实务,初青松编著,东北大学出版社,2018-09-03,40,0
285,978-7-5447-8314-9,绿山墙的安妮,(加)露西·莫德·蒙哥马利(Lucy Maud Montgomery)著,译林出版社,2018-09-03,40,0
